Appliances,Random Forest,Random Forest (error),Linear Regression,Linear Regression (error),Tree,Tree (error),kNN,kNN (error),lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,RH_out,Visibility,Tdewpoint,rv1,rv2,Press_mm_hg,Windspeed
60,59.5262,-0.47381,81.462,21.462,67.5,7.5,50,-10,20,21.5,44.3633,20.89,43.845,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.4967,17.7,43.4667,19.39,50.7233,16.89,45.56,5.5,90.3333,28,4,41.0473,41.0473,736.7,6.33333
40,45.7988,5.79881,81.6786,41.6786,35,-5,44,4,20,21.39,44.4333,20.79,43.79,20.23,45.6567,20.7,46.79,19.2,50.6633,5.59,87.8967,17.7,43.6267,19.39,50.9633,16.89,45.6267,5.4,91.1667,25,4.05,32.353,32.353,736.8,6.16667
40,40.0821,0.0821429,60.5762,20.5762,45,5,48,8,10,21.39,44.56,20.79,43.8633,20.2,45.6633,20.6333,46.79,19.2,50.53,5.59,88.6333,17.7,43.76,19.39,51.1633,16.89,45.7,5.3,92,22,4.1,39.1466,39.1466,736.9,6
30,37.3821,7.38214,83.6524,53.6524,35,5,112,82,20,21.29,44.8267,20.7,44,20.2,45.59,20.5667,46.9333,19.2,50.5,5.53,89.0267,17.7,43.9333,19.4633,51.5,16.89,45.79,5.26667,92,25,4.06667,27.6518,27.6518,737,6
40,37.3821,-2.61786,85.1978,45.1978,35,-5,112,72,20,21.29,44.9667,20.6333,44,20.1667,45.5,20.5,47.1333,19.2,50.4333,5.53,89.4,17.76,44.3333,19.39,51.56,16.89,45.8633,5.23333,92,28,4.03333,26.486,26.486,737.1,6
50,205.533,155.533,83.243,33.243,53.3333,3.33333,184,134,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.1667,50.3633,5.53,89.1933,17.79,44.9633,19.39,51.86,16.89,45.9,5.2,92,31,4,39.4678,39.4678,737.2,6
310,267.2,-42.8,63.0745,-246.925,325,15,100,-210,10,21.2,45.09,20.6,44.09,20.1,45.5,20.4267,47.23,19.1,50.29,5.4,89.4,17.79,45.2233,19.39,52,16.89,45.9667,5.16667,92,34,3.96667,1.16656,1.16656,737.3,6
380,313.51,-66.4905,83.4998,-296.5,400,20,200,-180,20,21.1667,45.23,20.5,44.1267,20.1,45.5,20.46,47.36,19.0667,50.26,5.2,88.99,17.79,45.3267,19.3567,52.09,16.89,46.03,5.13333,92,37,3.93333,23.8615,23.8615,737.4,6
380,354.176,-25.8238,80.3373,-299.663,380,0,184,-196,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.7933,47.56,19,50.1267,4.86667,89.0633,17.79,45.425,19.29,52.1633,16.89,46.09,5.1,92,40,3.9,36.6157,36.6157,737.5,6
370,323.968,-46.0321,80.3543,-289.646,380,10,254,-116,20,21,45.4,20.39,44.2,20.1,45.59,21.2633,47.4667,19,50.09,4.93333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.11667,92,40,3.91667,34.6366,34.6366,737.633,5.83333
120,205.475,85.475,59.405,-60.595,105,-15,122,2,10,21,45.59,20.39,44.26,20.1,45.59,21.5967,47.4,19,50.03,5,91.4333,17.79,45.73,19.23,52.9,16.89,46.2,5.13333,92,40,3.93333,23.881,23.881,737.767,5.66667
50,49.4821,-0.517857,36.6283,-13.3717,50,0,44,-6,0,20.9267,45.59,20.29,44.29,20.1667,45.53,21.89,46.9667,19,50.03,4.86667,91.26,17.79,45.8633,19.29,53.5,16.89,46.29,5.15,92,40,3.95,43.0605,43.0605,737.9,5.5
40,44.0417,4.04167,35.6593,-4.34074,40,0,36,-4,0,20.89,45.6667,20.23,44.29,20.1333,45.5,21.8233,46.2267,18.9267,50.09,4.72667,91.5933,17.79,45.8267,19.29,53.96,16.89,46.4333,5.16667,92,40,3.96667,21.9049,21.9049,738.033,5.33333
50,46.875,-3.125,38.4331,-11.5669,50,0,42,-8,0,20.89,46.06,20.2,44.4,20.2,45.5,21.6667,46.06,18.89,50.09,4.46667,91.76,17.79,45.9667,19.29,54.4633,16.89,46.6333,5.18333,92,40,3.98333,12.2399,12.2399,738.167,5.16667
40,43.5429,3.54286,36.4397,-3.56027,45,5,48,8,0,20.79,46.2,20.2,44.4667,20.1667,45.5,21.5333,45.9333,18.89,50.1725,4.33333,91.76,17.79,46,19.2225,54.7225,16.89,46.8267,5.2,92,40,4,3.53395,3.53395,738.3,5
50,49.0417,-0.958333,32.7147,-17.2853,45,-5,46,-4,0,20.79,46.2,20.1,44.53,20.125,45.425,21.3567,45.9,18.89,50.2,4.15667,91.8333,17.79,46,19.2,54.9667,16.9633,46.9667,5.13333,92,40,3.93333,4.97331,4.97331,738.4,4.83333
50,46.1667,-3.83333,32.5805,-17.4195,50,0,40,-10,0,20.7,46.26,20.1,44.59,20.1333,45.4,21.23,45.9,18.79,50.09,4.15667,92.5667,17.89,46,19.2,54.9667,17,47.23,5.06667,92,40,3.86667,15.8136,15.8136,738.5,4.66667
50,45,-5,39.5955,-10.4045,50,0,38,-12,0,20.7,46.2,20,44.4333,20.2,45.5,21.0667,45.9,18.79,50.09,4.33333,93.53,17.89,46.06,19.2,54.9,17,47.3633,5,92,40,3.8,25.9317,25.9317,738.6,4.5
40,40.4083,0.408333,38.9349,-1.06514,45,5,44,4,0,20.6,46.2,20,44.5,20.2,45.5,20.9267,45.9,18.79,50.09,4.33333,93.3233,17.89,46.09,19.2,54.8633,17,47.53,4.93333,92,40,3.73333,33.1003,33.1003,738.7,4.33333
40,37.75,-2.25,37.2456,-2.75436,37.5,-2.5,38,-2,0,20.6,46.1267,20,44.5,20.2,45.4,20.745,45.9,18.73,50.09,4.19,93.1267,17.8233,45.9633,19.1333,54.79,17,47.6633,4.86667,92,40,3.66667,20.3415,20.3415,738.8,4.16667
30,30.0214,0.0214286,35.3287,5.32871,37.5,7.5,40,10,0,20.5667,46.0667,19.89,44.59,20.2,45.4,20.6667,46,18.7,50.09,4.06333,92.8667,17.8567,45.9667,19.2,54.9,17,47.8267,4.8,92,40,3.6,45.6438,45.6438,738.9,4
20,27.9321,7.93214,42.3731,22.3731,20,0,42,22,0,20.5,46.2,19.8233,44.53,20.29,45.4667,20.5333,46,18.7,50.09,3.86333,92.9667,17.8567,45.9667,19.2,54.9667,17,47.9,4.81667,92.1667,40,3.63333,14.6802,14.6802,739.017,4.33333
20,28.9321,8.93214,43.0702,23.0702,20,0,36,16,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.0933,17.89,46.2,19.2,55.09,17,48.03,4.83333,92.3333,40,3.66667,22.9533,22.9533,739.133,4.66667
40,35.9571,-4.04286,41.8045,1.8045,32.5,-7.5,46,6,0,20.4267,46.23,19.79,44.53,20.2,45.4,20.39,46.1633,18.6333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17,48.09,4.85,92.5,40,3.7,16.6197,16.6197,739.25,5
50,46.325,-3.675,44.3562,-5.64382,45,-5,44,-6,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50,4.19,94.6567,17.89,46.2,19.2,54.8633,17.0667,48.29,4.86667,92.6667,40,3.73333,32.5435,32.5435,739.367,5.33333
50,47,-3,49.6735,-0.326533,50,0,42,-8,0,20.39,46.3633,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50,4.26333,94.7967,17.89,46.1267,19.2,54.73,17.0667,48.3633,4.88333,92.8333,40,3.76667,12.9008,12.9008,739.483,5.66667
40,41.75,1.75,54.2054,14.2054,40,0,38,-2,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50,4.46333,95.03,17.89,46.09,19.1,54.56,17.0333,48.4633,4.9,93,40,3.8,23.9273,23.9273,739.6,6
50,47.6071,-2.39286,58.5245,8.52453,50,0,56,6,0,20.29,46.545,19.6333,44.6267,20.29,45.5,20.0333,46.29,18.5333,50,4.59,95.03,17.89,45.92,19.1,54.5,17.0333,48.59,4.91667,92.6667,40,3.76667,38.3155,38.3155,739.65,5.83333
40,42.5179,2.51786,61.2782,21.2782,45,5,48,8,0,20.23,46.5,19.6,44.59,20.29,45.5,20,46.4,18.5,50,4.72667,94.8667,17.89,45.73,19.1,54.5,17.0333,48.7667,4.93333,92.3333,40,3.73333,4.21235,4.21235,739.7,5.66667
40,40.0655,0.0654762,59.0322,19.0322,37.5,-2.5,42,2,0,20.2,46.4333,19.6,44.59,20.29,45.5,19.9267,46.4667,18.5,50,4.8,94.7267,17.89,45.7,19.1,54.5,17.0333,48.9,4.95,92,40,3.7,43.7661,43.7661,739.75,5.5
40,43.875,3.875,60.661,20.661,37.5,-2.5,46,6,0,20.2,46.56,19.5667,44.7,20.29,45.56,19.8567,46.4667,18.5,50,4.8,94.4933,17.89,45.7,19.1,54.4,17.1,49.045,4.96667,91.6667,40,3.66667,16.9536,16.9536,739.8,5.33333
60,48.875,-11.125,57.9134,-2.08664,50,-10,46,-14,0,20.1667,46.3633,19.5,44.7,20.29,45.59,19.79,46.4667,18.5,50,4.8,94.2267,17.89,45.59,19.1,54.4,17.1,49.2,4.98333,91.3333,40,3.63333,41.972,41.972,739.85,5.16667
50,48.625,-1.375,57.9021,7.90205,50,0,46,-4,0,20.1,46.3633,19.5,44.79,20.29,45.59,19.76,46.59,18.5,50,4.8,94.1267,17.89,45.6633,19.1,54.29,17.1,49.26,5,91,40,3.6,17.3342,17.3342,739.9,5
50,47.9917,-2.00833,62.2369,12.2369,53.3333,3.33333,46,-4,0,20.1,46.5,19.4267,44.73,20.29,45.59,19.7,46.6633,18.4725,49.975,4.8,94,17.89,45.59,19.1,54.23,17.1,49.29,4.98333,91.6667,40,3.68333,16.6887,16.6887,739.967,4.83333
40,41.7,1.7,60.2268,20.2268,40,0,38,-2,0,20.0333,46.36,19.39,44.73,20.29,45.59,19.6667,46.6633,18.39,49.9,4.76333,93.5633,17.89,45.59,19.05,54.045,17.1,49.3633,4.96667,92.3333,40,3.76667,23.8176,23.8176,740.033,4.66667
40,41.7,1.7,58.874,18.874,40,0,42,2,0,20,46.29,19.39,44.79,20.3567,45.59,19.6,46.59,18.39,49.9,4.76333,94.0233,17.89,45.6267,19,54,17.1,49.4333,4.95,93,40,3.85,44.6099,44.6099,740.1,4.5
40,41.7,1.7,60.51,20.51,40,0,42,2,0,20,46.29,19.39,44.79,20.39,45.59,19.6,46.6267,18.39,49.9,4.83333,94.7267,17.89,45.6267,19.0667,54,17.1,49.56,4.93333,93.6667,40,3.93333,43.217,43.217,740.167,4.33333
40,39.7833,-0.216667,59.3008,19.3008,40,0,44,4,0,20,46.23,19.39,44.79,20.3233,45.59,19.6,46.7,18.39,49.9,4.83333,95,17.89,45.59,19.1,53.9,17.1,49.6267,4.91667,94.3333,40,4.01667,19.4995,19.4995,740.233,4.16667
50,46.0333,-3.96667,58.9364,8.93636,45,-5,52,2,0,19.9267,46.23,19.29,44.9,20.3233,45.59,19.5,46.7,18.39,49.9,4.9,95.53,17.89,45.7233,19.0333,53.8267,17.1,49.7,4.9,95,40,4.1,38.866,38.866,740.3,4
70,60.9333,-9.06667,78.4679,8.46792,70,0,44,-26,10,19.89,46.23,19.29,44.925,20.3233,45.59,19.5,46.7,18.3567,49.9333,4.9975,95.82,17.89,45.9,19,53.79,17.1,49.8267,4.93333,94.6667,38.1667,4.1,48.0309,48.0309,740.433,4.16667
40,36.1167,-3.88333,61.6264,21.6264,45,5,36,-4,0,19.89,46.43,19.29,45,20.29,45.59,19.4267,46.7,18.29,50,5.09,96.03,17.89,45.9667,19,53.79,17.1,49.9667,4.96667,94.3333,36.3333,4.1,21.733,21.733,740.567,4.33333
30,35.45,5.45,61.5067,31.5067,32.5,2.5,44,14,0,19.89,46.6267,19.29,45.1267,20.29,45.59,19.39,46.7,18.29,50.1267,5,95.9,17.89,45.9,19,53.76,17.1333,50,5,94,34.5,4.1,35.6257,35.6257,740.7,4.5
20,33.825,13.825,82.4071,62.4071,25,5,50,30,10,19.89,46.7,19.218,45.2,20.29,45.5,19.39,46.7,18.29,50.2,5,95.9667,17.89,45.8267,19,53.7,17.2,50,5.03333,93.6667,32.6667,4.1,19.9997,19.9997,740.833,4.66667
30,67.6167,37.6167,63.9902,33.9902,32.5,2.5,82,52,0,19.89,46.8633,19.2,45.245,20.29,45.4333,19.29,46.79,18.29,50.23,4.96667,95.9333,17.89,45.7225,19,53.875,17.2,50,5.06667,93.3333,30.8333,4.1,16.2676,16.2676,740.967,4.83333
40,59.2333,19.2333,77.3224,37.3224,42.5,2.5,44,4,10,19.8233,46.8633,19.2,45.3633,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.9333,17.89,45.79,19,54,17.2,50,5.1,93,29,4.1,37.8544,37.8544,741.1,5
50,64.6361,14.6361,79.1973,29.1973,55,5,52,2,10,19.8567,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.4267,4.93333,96.09,17.89,45.8633,19,54.06,17.2,50.09,5.1,92.6667,30.8333,4.05,10.1346,10.1346,741.217,5
60,70.5333,10.5333,97.8552,37.8552,53.3333,-6.66667,180,120,20,19.79,46.79,19.2,45.3267,20.1667,45.29,19.29,46.5967,18.23,50.8333,4.93333,96.09,17.89,45.52,18.9267,53.8,17.2,49.9633,5.1,92.3333,32.6667,4,35.5561,35.5561,741.333,5
60,58.3111,-1.68889,106.503,46.5034,55,-5,76,16,20,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.2967,18.2,51.2667,5,96.09,17.89,45.14,18.9725,53.15,17.2,49.7233,5.1,92,34.5,3.95,6.0846,6.0846,741.45,5
70,62.5,-7.5,120.149,50.1488,70,0,76,6,20,19.79,47.4267,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.5267,5,96.09,17.8567,44.8333,18.89,52.8,17.2,49.4633,5.1,91.6667,36.3333,3.9,12.2744,12.2744,741.567,5
60,62.9611,2.96111,158.767,98.7666,70,10,88,28,30,19.79,48.3667,19.1,45,20.1,45.29,19.1667,45.9667,18.1,51.8267,5,96.09,17.79,44.5667,18.8567,52.3633,17.15,48.995,5.1,91.3333,38.1667,3.85,7.16522,7.16522,741.683,5
140,107.838,-32.1616,149.451,9.45097,130,-10,76,-64,20,19.79,48.6667,19.1,45,20.2,45.29,19.1667,45.9,18.1,51.9667,5.06,96.1567,17.79,44.3267,18.79,51.9633,17.1,48.6333,5.1,91,40,3.8,11.9815,11.9815,741.8,5
110,108.665,-1.33532,167.476,57.4759,106.667,-3.33333,98,-12,30,19.79,48.5333,19.0667,45.06,20.1333,45.29,19.2,45.76,18.1,52.1267,5.09,96.0267,17.8567,44.66,18.79,51.6333,17.1,48.36,5.05,91,40,3.73333,2.94672,2.94672,741.883,5
90,90.2762,0.27619,151.024,61.0243,95,5,50,-40,10,19.89,50,19.0222,45.0444,20.15,45.245,19.2,45.6267,18.0333,52.2,5.09,95.76,18,45.0633,18.79,51.395,17.1,48.0267,5,91,40,3.66667,32.1144,32.1144,741.967,5
60,96.131,36.131,108.406,48.406,60,0,48,-12,0,19.89,48.7333,19.1,45.2,20.1,45.2,19.1,45.5267,18.05,52.4,5,95.4567,18,44.4567,18.7,51.045,17.1,47.7667,4.95,91,40,3.6,43.8135,43.8135,742.05,5
60,95.731,35.731,100.802,40.802,60,0,56,-4,0,19.89,48.0267,19.0333,45.1267,20.1,45.2,19.1,45.4,18,52.5,4.79333,94.79,17.89,43.96,18.7,50.76,17.1,47.4667,4.9,91,40,3.53333,38.9457,38.9457,742.133,5
60,57.3667,-2.63333,95.9746,35.9746,60,0,58,-2,0,19.89,47.6333,19,45.09,20.1,45.2,19.1,45.3633,18,52.56,4.46667,94.1933,17.89,43.5667,18.7,50.645,17.0333,47.2667,4.85,91,40,3.46667,39.8654,39.8654,742.217,5
